iter	Passed	Remaining
0	2	224
1	4	203
2	5	188
3	7	174
4	8	168
5	10	163
6	11	158
7	13	154
8	14	150
9	16	147
10	17	144
11	19	141
12	20	139
13	22	137
14	23	134
15	25	132
16	26	130
17	28	128
18	29	126
19	31	125
20	32	123
21	34	121
22	35	119
23	37	117
24	38	115
25	39	113
26	41	112
27	43	111
28	45	110
29	46	108
30	47	106
31	49	105
32	50	103
33	52	101
34	53	100
35	55	98
36	56	96
37	58	95
38	59	93
39	61	91
40	62	90
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	80	68
54	81	66
55	83	65
56	84	63
57	86	62
58	87	60
59	89	59
60	90	58
61	92	56
62	93	54
63	95	53
64	96	51
65	98	50
66	99	49
67	100	47
68	102	45
69	103	44
70	105	42
71	106	41
72	108	40
73	109	38
74	111	37
75	112	35
76	113	34
77	115	32
78	116	31
79	118	29
80	119	28
81	121	26
82	122	25
83	123	23
84	125	22
85	127	20
86	128	19
87	130	17
88	132	16
89	133	14
90	134	13
91	136	11
92	137	10
93	139	8
94	140	7
95	142	5
96	143	4
97	144	2
98	146	1
99	147	0
